concept_en,lang,lang_name,native_text,roman_itrans,devanagari_translit,manual_reviewed,quality_note,native_script_detected,roman_script_detected,devanagari_script_detected,roman_equals_native,deva_equals_native
door,ory_Orya,Odia,କବାଟ,kabaaTa,कबाट,False,,Oriya,Latin,Devanagari,False,False
door,pan_Guru,Punjabi,ਦਰਵਾਜ਼ਾ,daravaajaaa,दरवाज़ा,False,,Gurmukhi,Latin,Devanagari,False,False
door,tam_Taml,Tamil,கதவு,katavu,कतवु,False,,Tamil,Latin,Devanagari,False,False
window,asm_Beng,Assamese,উইণ্ডো,uiNDo,उइण्डो,False,,Bengali,Latin,Devanagari,False,False
window,ben_Beng,Bengali,উইন্ডো,uinDo,उइन्डो,False,,Bengali,Latin,Devanagari,False,False
window,guj_Gujr,Gujarati,વિન્ડો,vinDo,विन्डो,False,,Gujarati,Latin,Devanagari,False,False
window,hin_Deva,Hindi,खिड़की,khiDa़kii,खिड़की,False,,Devanagari,Mixed,Devanagari,False,True
window,mal_Mlym,Malayalam,വിൻഡോ,vinDo,विൻडो,False,,Malayalam,Latin,Mixed,False,False
window,mar_Deva,Marathi,खिडकी,khiDakii,खिडकी,False,,Devanagari,Latin,Devanagari,False,True
window,ory_Orya,Odia,ଝରକା,jharakaa,झरका,False,,Oriya,Latin,Devanagari,False,False
window,pan_Guru,Punjabi,ਵਿੰਡੋ,vi॰Do,विੰडो,False,,Gurmukhi,Mixed,Mixed,False,False
window,tam_Taml,Tamil,ஜன்னல்,ja*n*nal,जऩ्ऩल्,False,,Tamil,Latin,Devanagari,False,False
road,asm_Beng,Assamese,পথ,patha,पथ,False,,Bengali,Latin,Devanagari,False,False
road,ben_Beng,Bengali,পথ,patha,पथ,False,,Bengali,Latin,Devanagari,False,False
road,guj_Gujr,Gujarati,રસ્તો,rasto,रस्तो,False,,Gujarati,Latin,Devanagari,False,False
road,hin_Deva,Hindi,सड़क,saDa़ka,सड़क,False,,Devanagari,Mixed,Devanagari,False,True
road,mal_Mlym,Malayalam,റോഡ്,RoD,ऱोड्,False,,Malayalam,Latin,Devanagari,False,False
road,mar_Deva,Marathi,रस्ता,rastaa,रस्ता,False,,Devanagari,Latin,Devanagari,False,True
road,ory_Orya,Odia,ରାସ୍ତା,raastaa,रास्ता,False,,Oriya,Latin,Devanagari,False,False
road,pan_Guru,Punjabi,ਸੜਕ,saड़ka,सड़क,False,,Gurmukhi,Mixed,Devanagari,False,False
road,tam_Taml,Tamil,சாலை,chaalai,चालै,False,,Tamil,Latin,Devanagari,False,False
book,asm_Beng,Assamese,কিতাপ,kitaapa,किताप,False,,Bengali,Latin,Devanagari,False,False
book,ben_Beng,Bengali,বই,bai,बइ,False,,Bengali,Latin,Devanagari,False,False
book,guj_Gujr,Gujarati,પુસ્તક,pustaka,पुस्तक,False,,Gujarati,Latin,Devanagari,False,False
book,hin_Deva,Hindi,पुस्तक,pustaka,पुस्तक,False,,Devanagari,Latin,Devanagari,False,True
book,mal_Mlym,Malayalam,പുസ്തകം,pustaka.m,पुस्तकं,False,,Malayalam,Latin,Devanagari,False,False
book,mar_Deva,Marathi,पुस्तक,pustaka,पुस्तक,False,,Devanagari,Latin,Devanagari,False,True
book,ory_Orya,Odia,ପୁସ୍ତକ,pustaka,पुस्तक,False,,Oriya,Latin,Devanagari,False,False
book,pan_Guru,Punjabi,ਕਿਤਾਬ,kitaaba,किताब,False,,Gurmukhi,Latin,Devanagari,False,False
book,tam_Taml,Tamil,புத்தகம்,puttakam,पुत्तकम्,False,,Tamil,Latin,Devanagari,False,False
school,asm_Beng,Assamese,বিদ্যালয়,bidyaalaya़,बिद्यालय़,False,,Bengali,Mixed,Devanagari,False,False
school,ben_Beng,Bengali,স্কুল,skula,स्कुल,False,,Bengali,Latin,Devanagari,False,False
school,guj_Gujr,Gujarati,શાળા,shaaldaa,शाळा,False,,Gujarati,Latin,Devanagari,False,False
school,hin_Deva,Hindi,विद्यालय,vidyaalaya,विद्यालय,False,,Devanagari,Latin,Devanagari,False,True
school,mal_Mlym,Malayalam,സ്കൂൾ,skuuld,स्कूൾ,False,,Malayalam,Latin,Mixed,False,False
school,mar_Deva,Marathi,शाळा,shaaldaa,शाळा,False,,Devanagari,Latin,Devanagari,False,True
school,ory_Orya,Odia,ବିଦ୍ୟାଳୟ,bidaaldaय़,बिद्य़ाळय़,False,,Oriya,Mixed,Devanagari,False,False
school,pan_Guru,Punjabi,ਸਕੂਲ,sakuula,सकूल,False,,Gurmukhi,Latin,Devanagari,False,False
school,tam_Taml,Tamil,பள்ளி,paldldi,पळ्ळि,False,,Tamil,Latin,Devanagari,False,False
teacher,asm_Beng,Assamese,শিক্ষক,shikShaka,शिक्षक,False,,Bengali,Latin,Devanagari,False,False
teacher,ben_Beng,Bengali,শিক্ষক,shikShaka,शिक्षक,False,,Bengali,Latin,Devanagari,False,False
teacher,guj_Gujr,Gujarati,શિક્ષક,shikShaka,शिक्षक,False,,Gujarati,Latin,Devanagari,False,False
teacher,hin_Deva,Hindi,शिक्षक,shikShaka,शिक्षक,False,,Devanagari,Latin,Devanagari,False,True
teacher,mal_Mlym,Malayalam,അധ്യാപകൻ,adhyaapakan,अध्यापकൻ,False,,Malayalam,Latin,Mixed,False,False
teacher,mar_Deva,Marathi,शिक्षक,shikShaka,शिक्षक,False,,Devanagari,Latin,Devanagari,False,True
teacher,ory_Orya,Odia,ଶିକ୍ଷକ,shikShaka,शिक्षक,False,,Oriya,Latin,Devanagari,False,False
teacher,pan_Guru,Punjabi,ਅਧਿਆਪਕ,adhiaapaka,अधिआपक,False,,Gurmukhi,Latin,Devanagari,False,False
teacher,tam_Taml,Tamil,ஆசிரியர்,aachiriyar,आचिरियर्,False,,Tamil,Latin,Devanagari,False,False
student,asm_Beng,Assamese,ছাত্ৰ,Chaat॰,छात्ৰ,False,,Bengali,Mixed,Mixed,False,False
student,ben_Beng,Bengali,ছাত্র,Chaatra,छात्र,False,,Bengali,Latin,Devanagari,False,False
student,guj_Gujr,Gujarati,વિદ્યાર્થી,vidyaarthii,विद्यार्थी,False,,Gujarati,Latin,Devanagari,False,False
student,hin_Deva,Hindi,छात्र,Chaatra,छात्र,False,,Devanagari,Latin,Devanagari,False,True
student,mal_Mlym,Malayalam,വിദ്യാർഥി,vidyaarthi,विद्याർथि,False,,Malayalam,Latin,Mixed,False,False
student,mar_Deva,Marathi,विद्यार्थी,vidyaarthii,विद्यार्थी,False,,Devanagari,Latin,Devanagari,False,True
student,ory_Orya,Odia,ଛାତ୍ର,Chaatra,छात्र,False,,Oriya,Latin,Devanagari,False,False
student,pan_Guru,Punjabi,ਵਿਦਿਆਰਥੀ,vidiaarathii,विदिआरथी,False,,Gurmukhi,Latin,Devanagari,False,False
student,tam_Taml,Tamil,மாணவர்,maaNavar,माणवर्,False,,Tamil,Latin,Devanagari,False,False
food,asm_Beng,Assamese,খাদ্য,khaadya,खाद्य,False,,Bengali,Latin,Devanagari,False,False
food,ben_Beng,Bengali,খাদ্য,khaadya,खाद्य,False,,Bengali,Latin,Devanagari,False,False
food,guj_Gujr,Gujarati,ખોરાક,khoraaka,खोराक,False,,Gujarati,Latin,Devanagari,False,False
food,hin_Deva,Hindi,भोजन,bhojana,भोजन,False,,Devanagari,Latin,Devanagari,False,True
food,mal_Mlym,Malayalam,ഭക്ഷണം,bhakShaNa.m,भक्षणं,False,,Malayalam,Latin,Devanagari,False,False
food,mar_Deva,Marathi,अन्न,anna,अन्न,False,,Devanagari,Latin,Devanagari,False,True
food,ory_Orya,Odia,ଖାଦ୍ୟ,khaadय़,खाद्य़,False,,Oriya,Mixed,Devanagari,False,False
food,pan_Guru,Punjabi,ਭੋਜਨ,bhojana,भोजन,False,,Gurmukhi,Latin,Devanagari,False,False
food,tam_Taml,Tamil,உணவு,uNavu,उणवु,False,,Tamil,Latin,Devanagari,False,False
rice,asm_Beng,Assamese,চাউল,chaaula,चाउल,False,,Bengali,Latin,Devanagari,False,False
rice,ben_Beng,Bengali,ধান,dhaana,धान,False,,Bengali,Latin,Devanagari,False,False
rice,guj_Gujr,Gujarati,ચોખા,chokhaa,चोखा,False,,Gujarati,Latin,Devanagari,False,False
rice,hin_Deva,Hindi,चावल,chaavala,चावल,False,,Devanagari,Latin,Devanagari,False,True
rice,mal_Mlym,Malayalam,അരി,ari,अरि,False,,Malayalam,Latin,Devanagari,False,False
rice,mar_Deva,Marathi,तांदूळ,taa.mduulda,तांदूळ,False,,Devanagari,Latin,Devanagari,False,True
rice,ory_Orya,Odia,ଚାଉଳ,chaaulda,चाउळ,False,,Oriya,Latin,Devanagari,False,False
rice,pan_Guru,Punjabi,ਚਾਵਲ,chaavala,चावल,False,,Gurmukhi,Latin,Devanagari,False,False
rice,tam_Taml,Tamil,அரிசி,arichi,अरिचि,False,,Tamil,Latin,Devanagari,False,False
milk,asm_Beng,Assamese,দুগ্ধ,dugdha,दुग्ध,False,,Bengali,Latin,Devanagari,False,False
milk,ben_Beng,Bengali,দুধ,dudha,दुध,False,,Bengali,Latin,Devanagari,False,False
milk,guj_Gujr,Gujarati,દૂધ,duudha,दूध,False,,Gujarati,Latin,Devanagari,False,False
milk,hin_Deva,Hindi,दूध,duudha,दूध,False,,Devanagari,Latin,Devanagari,False,True
milk,mal_Mlym,Malayalam,പാൽ,paal,पाൽ,False,,Malayalam,Latin,Mixed,False,False
milk,mar_Deva,Marathi,दूध,duudha,दूध,False,,Devanagari,Latin,Devanagari,False,True
milk,ory_Orya,Odia,କ୍ଷୀର,kShiira,क्षीर,False,,Oriya,Latin,Devanagari,False,False
milk,pan_Guru,Punjabi,ਦੁੱਧ,duॱdha,दुੱध,False,,Gurmukhi,Mixed,Mixed,False,False
milk,tam_Taml,Tamil,பால்,paal,पाल्,False,,Tamil,Latin,Devanagari,False,False
bread,asm_Beng,Assamese,পিঠা,piThaa,पिठा,False,,Bengali,Latin,Devanagari,False,False
bread,ben_Beng,Bengali,রুটি,ruTi,रुटि,False,,Bengali,Latin,Devanagari,False,False
bread,guj_Gujr,Gujarati,રોટલી,roTalii,रोटली,False,,Gujarati,Latin,Devanagari,False,False
bread,hin_Deva,Hindi,रोटी,roTii,रोटी,False,,Devanagari,Latin,Devanagari,False,True
bread,mal_Mlym,Malayalam,അപ്പം,appa.m,अप्पं,False,,Malayalam,Latin,Devanagari,False,False
bread,mar_Deva,Marathi,भाकरी,bhaakarii,भाकरी,False,,Devanagari,Latin,Devanagari,False,True
bread,ory_Orya,Odia,ରୁଟି,ruTi,रुटि,False,,Oriya,Latin,Devanagari,False,False
bread,pan_Guru,Punjabi,ਰੋਟੀ,roTii,रोटी,False,,Gurmukhi,Latin,Devanagari,False,False
bread,tam_Taml,Tamil,ரொட்டி,r.oTTi,रॊट्टि,False,,Tamil,Latin,Devanagari,False,False
music,asm_Beng,Assamese,সংগীত,sa.mgiita,संगीत,False,,Bengali,Latin,Devanagari,False,False
music,ben_Beng,Bengali,সঙ্গীত,sa~Ngiita,सङ्गीत,False,,Bengali,Mixed,Devanagari,False,False
music,guj_Gujr,Gujarati,સંગીત,sa.mgiita,संगीत,False,,Gujarati,Latin,Devanagari,False,False
music,hin_Deva,Hindi,संगीत,sa.mgiita,संगीत,False,,Devanagari,Latin,Devanagari,False,True
music,mal_Mlym,Malayalam,സംഗീതം,sa.mgiita.m,संगीतं,False,,Malayalam,Latin,Devanagari,False,False
music,mar_Deva,Marathi,संगीत,sa.mgiita,संगीत,False,,Devanagari,Latin,Devanagari,False,True
music,ory_Orya,Odia,ସଙ୍ଗୀତ,sa~Ngiita,सङ्गीत,False,,Oriya,Mixed,Devanagari,False,False
music,pan_Guru,Punjabi,ਸੰਗੀਤ,sa॰giita,सੰगीत,False,,Gurmukhi,Mixed,Mixed,False,False
music,tam_Taml,Tamil,இசை,ichai,इचै,False,,Tamil,Latin,Devanagari,False,False
dance,asm_Beng,Assamese,নাচ,naacha,नाच,False,,Bengali,Latin,Devanagari,False,False
dance,ben_Beng,Bengali,নাচ,naacha,नाच,False,,Bengali,Latin,Devanagari,False,False
dance,guj_Gujr,Gujarati,નૃત્ય,nR^itya,नृत्य,False,,Gujarati,Latin,Devanagari,False,False
dance,hin_Deva,Hindi,नृत्य,nR^itya,नृत्य,False,,Devanagari,Latin,Devanagari,False,True
dance,mal_Mlym,Malayalam,നൃത്തം,nR^itta.m,नृत्तं,False,,Malayalam,Latin,Devanagari,False,False
dance,mar_Deva,Marathi,नृत्य,nR^itya,नृत्य,False,,Devanagari,Latin,Devanagari,False,True
dance,ory_Orya,Odia,ନୃତ୍ୟ,nR^itय़,नृत्य़,False,,Oriya,Mixed,Devanagari,False,False
dance,pan_Guru,Punjabi,ਡਾਂਸ,Daa.msa,डांस,False,,Gurmukhi,Latin,Devanagari,False,False
dance,tam_Taml,Tamil,நடனம்,naTa*nam,नटऩम्,False,,Tamil,Latin,Devanagari,False,False
friend,asm_Beng,Assamese,বন্ধু,bandhu,बन्धु,False,,Bengali,Latin,Devanagari,False,False
friend,ben_Beng,Bengali,বন্ধু,bandhu,बन्धु,False,,Bengali,Latin,Devanagari,False,False
friend,guj_Gujr,Gujarati,મિત્ર,mitra,मित्र,False,,Gujarati,Latin,Devanagari,False,False
friend,hin_Deva,Hindi,मित्र,mitra,मित्र,False,,Devanagari,Latin,Devanagari,False,True
friend,mal_Mlym,Malayalam,സുഹൃത്ത്,suhR^itt,सुहृत्त्,False,,Malayalam,Latin,Devanagari,False,False
friend,mar_Deva,Marathi,मित्र,mitra,मित्र,False,,Devanagari,Latin,Devanagari,False,True
friend,ory_Orya,Odia,ବନ୍ଧୁ,bandhu,बन्धु,False,,Oriya,Latin,Devanagari,False,False
friend,pan_Guru,Punjabi,ਦੋਸਤ,dosata,दोसत,False,,Gurmukhi,Latin,Devanagari,False,False
friend,tam_Taml,Tamil,நண்பர்,naNpar,नण्पर्,False,,Tamil,Latin,Devanagari,False,False
family,asm_Beng,Assamese,পৰিয়াল,paiyaaala,पৰिय़ाल,False,,Bengali,Latin,Mixed,False,False
family,ben_Beng,Bengali,পরিবার,paribaara,परिबार,False,,Bengali,Latin,Devanagari,False,False
family,guj_Gujr,Gujarati,પરિવાર,parivaara,परिवार,False,,Gujarati,Latin,Devanagari,False,False
family,hin_Deva,Hindi,परिवार,parivaara,परिवार,False,,Devanagari,Latin,Devanagari,False,True
family,mal_Mlym,Malayalam,കുടുംബം,kuTu.mba.m,कुटुंबं,False,,Malayalam,Latin,Devanagari,False,False
family,mar_Deva,Marathi,कुटुंब,kuTu.mba,कुटुंब,False,,Devanagari,Latin,Devanagari,False,True
family,ory_Orya,Odia,ପରିବାର,paribaara,परिबार,False,,Oriya,Latin,Devanagari,False,False
family,pan_Guru,Punjabi,ਪਰਿਵਾਰ,parivaara,परिवार,False,,Gurmukhi,Latin,Devanagari,False,False
family,tam_Taml,Tamil,குடும்பம்,kuTumpam,कुटुम्पम्,False,,Tamil,Latin,Devanagari,False,False
child,asm_Beng,Assamese,শিশু,shishu,शिशु,False,,Bengali,Latin,Devanagari,False,False
child,ben_Beng,Bengali,শিশু,shishu,शिशु,False,,Bengali,Latin,Devanagari,False,False
child,guj_Gujr,Gujarati,બાળક,baaldaka,बाळक,False,,Gujarati,Latin,Devanagari,False,False
child,hin_Deva,Hindi,बच्चा,bachchaa,बच्चा,False,,Devanagari,Latin,Devanagari,False,True
child,mal_Mlym,Malayalam,കുട്ടിയേ,kuTTiye,कुट्टिये,False,,Malayalam,Latin,Devanagari,False,False
child,mar_Deva,Marathi,बाल,baala,बाल,False,,Devanagari,Latin,Devanagari,False,True
child,ory_Orya,Odia,ଶିଶୁ,shishu,शिशु,False,,Oriya,Latin,Devanagari,False,False
child,pan_Guru,Punjabi,ਬੱਚਾ,baॱchaa,बੱचा,False,,Gurmukhi,Mixed,Mixed,False,False
child,tam_Taml,Tamil,குழந்தை,kuzhantai,कुऴन्तै,False,,Tamil,Latin,Devanagari,False,False
mother,asm_Beng,Assamese,মাতৃ,maatR^i,मातृ,False,,Bengali,Latin,Devanagari,False,False
mother,ben_Beng,Bengali,মা,maa,मा,False,,Bengali,Latin,Devanagari,False,False
mother,guj_Gujr,Gujarati,મા,maa,मा,False,,Gujarati,Latin,Devanagari,False,False
mother,hin_Deva,Hindi,माँ,maaँ,माँ,False,,Devanagari,Mixed,Devanagari,False,True
mother,mal_Mlym,Malayalam,മാതാവ്,maataav,माताव्,False,,Malayalam,Latin,Devanagari,False,False
mother,mar_Deva,Marathi,आई,aaii,आई,False,,Devanagari,Latin,Devanagari,False,True
mother,ory_Orya,Odia,ମା',maa',मा',False,,Oriya,Latin,Devanagari,False,False
mother,pan_Guru,Punjabi,ਮਾਂ,maa.m,मां,False,,Gurmukhi,Latin,Devanagari,False,False
mother,tam_Taml,Tamil,தாய்,taay,ताय्,False,,Tamil,Latin,Devanagari,False,False
father,asm_Beng,Assamese,পিতৃ,pitR^i,पितृ,False,,Bengali,Latin,Devanagari,False,False
father,ben_Beng,Bengali,পিতা,pitaa,पिता,False,,Bengali,Latin,Devanagari,False,False
father,guj_Gujr,Gujarati,પિતા,pitaa,पिता,False,,Gujarati,Latin,Devanagari,False,False
father,hin_Deva,Hindi,पिता,pitaa,पिता,False,,Devanagari,Latin,Devanagari,False,True
father,mal_Mlym,Malayalam,പിതാവ്,pitaav,पिताव्,False,,Malayalam,Latin,Devanagari,False,False
father,mar_Deva,Marathi,पिता,pitaa,पिता,False,,Devanagari,Latin,Devanagari,False,True
father,ory_Orya,Odia,ପିତା,pitaa,पिता,False,,Oriya,Latin,Devanagari,False,False
father,pan_Guru,Punjabi,ਪਿਤਾ,pitaa,पिता,False,,Gurmukhi,Latin,Devanagari,False,False
father,tam_Taml,Tamil,தந்தை,tantai,तन्तै,False,,Tamil,Latin,Devanagari,False,False
day,asm_Beng,Assamese,দিন,dina,दिन,False,,Bengali,Latin,Devanagari,False,False
