id,sentence_eng_Latn,sentence_hin_Deva,sentence_ben_Beng,sentence_guj_Gujr,src_text,tgt_text,english_text,hindi_text,pair_name,pair_class,src_lang,tgt_lang,src_lang_name,tgt_lang_name,src_word_count,src_roman,src_devanagari,sentence_tam_Taml,sentence_asm_Beng
4,The pilot was identified as Squadron Leader Dilokrit Pattavee.,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,,પાઇલટની ઓળખ સ્ક્વૉડ્રન લીડર ડિલોક્રિટ પૅટ્ટાવી તરીકે થઈ.,પાઇલટની ઓળખ સ્ક્વૉડ્રન લીડર ડિલોક્રિટ પૅટ્ટાવી તરીકે થઈ.,"விமானி, ஸ்குவாட்ரான் தலைவர் திலோக்ரித் பட்டாவி என அடையாளம் காணப்பட்டார்.",The pilot was identified as Squadron Leader Dilokrit Pattavee.,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,8,paailaTanii oldakha skvॉDrana liiDara DilokriTa pॅTTaavii tariike thaii.,पाइलटनी ओळख स्क्वॉड्रन लीडर डिलोक्रिट पॅट्टावी तरीके थई.,"விமானி, ஸ்குவாட்ரான் தலைவர் திலோக்ரித் பட்டாவி என அடையாளம் காணப்பட்டார்.",
6,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,,28 વર્ષના વિદાલ ત્રણ સિઝન પહેલા બારકા સાથે જોડાયા હતા.,28 વર્ષના વિદાલ ત્રણ સિઝન પહેલા બારકા સાથે જોડાયા હતા.,"28 வயதான விடல் மூன்று பருவங்களுக்கு முன்பாக, செவில்லாவில் இருந்து பார்காவில் சேர்ந்தார்.","28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,10,28 varShanaa vidaala traNa sijhana pahelaa baarakaa saathe joDaayaa hataa.,28 वर्षना विदाल त्रण सिझन पहेला बारका साथे जोडाया हता.,"28 வயதான விடல் மூன்று பருவங்களுக்கு முன்பாக, செவில்லாவில் இருந்து பார்காவில் சேர்ந்தார்.",
7,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.",,કેટાલનની રાજધાનીમાં ગયા પછી વિડાલ ક્લબ માટે 49 રમતો રમ્યો હતા.,કેટાલનની રાજધાનીમાં ગયા પછી વિડાલ ક્લબ માટે 49 રમતો રમ્યો હતા.,"கடலான்-கேபிடலுக்கு மாறிய பின், விடால் அந்த கிளப்பிற்காக 49 ஆட்டங்களில் விளையாடி இருக்கிறார்.","Since moving to the Catalan-capital, Vidal had played 49 games for the club.","कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.",guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,11,keTaalananii raajadhaaniimaa.m gayaa paChii viDaala klaba maaTe 49 ramato ramyo hataa.,केटालननी राजधानीमां गया पछी विडाल क्लब माटे 49 रमतो रम्यो हता.,"கடலான்-கேபிடலுக்கு மாறிய பின், விடால் அந்த கிளப்பிற்காக 49 ஆட்டங்களில் விளையாடி இருக்கிறார்.",
9,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","ठीक 11:00 बजे के बाद, व्हाइटहॉल में उत्तर की ओर जाने वाले ट्रैफ़िक को प्रदर्शनकारियों ने रोक दिया.",,"11:00 વાગતાજ, વિરોધપ્રદર્શનકારીઓએ વાઇટહોલના નોર્થબોઉંડ કેરિએજ પર ટ્રાફિક રોકી દીધુ.","11:00 વાગતાજ, વિરોધપ્રદર્શનકારીઓએ વાઇટહોલના નોર્થબોઉંડ કેરિએજ પર ટ્રાફિક રોકી દીધુ.","11:00 மணிக்குப் பின்னர், எதிர்ப்பாளர்கள் ஒயிட்ஹாலில் வடக்கு நோக்கி செல்லும் வண்டிகளின் போக்குவரத்தைத் தடுத்தனர்.","Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","ठीक 11:00 बजे के बाद, व्हाइटहॉल में उत्तर की ओर जाने वाले ट्रैफ़िक को प्रदर्शनकारियों ने रोक दिया.",guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,10,"11:00 vaagataaja, virodhapradarshanakaariioe vaaiTaholanaa northabou.mDa kerieja para Traaphika rokii diidhu.","11:00 वागताज, विरोधप्रदर्शनकारीओए वाइटहोलना नोर्थबोउंड केरिएज पर ट्राफिक रोकी दीधु.","11:00 மணிக்குப் பின்னர், எதிர்ப்பாளர்கள் ஒயிட்ஹாலில் வடக்கு நோக்கி செல்லும் வண்டிகளின் போக்குவரத்தைத் தடுத்தனர்.",
12,Nadal's head to head record against the Canadian is 7–2.,कनाडियन के खिलाफ नडाल का सीधा रिकॉर्ड 7-2 है।,,નાદલ અને કેનેડિયન વચ્ચે ની હરીફાઈ નો રેકોર્ડ 7-2 છે.,નાદલ અને કેનેડિયન વચ્ચે ની હરીફાઈ નો રેકોર્ડ 7-2 છે.,அந்த கனடா நாட்டவருடன் நடாலின் நேருக்கு நேர் மோதிய சாதனை 7-2 ஆகும்.,Nadal's head to head record against the Canadian is 7–2.,कनाडियन के खिलाफ नडाल का सीधा रिकॉर्ड 7-2 है।,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,10,naadala ane keneDiyana vachche nii hariiphaaii no rekorDa 7-2 Che.,नादल अने केनेडियन वच्चे नी हरीफाई नो रेकोर्ड 7-2 छे.,அந்த கனடா நாட்டவருடன் நடாலின் நேருக்கு நேர் மோதிய சாதனை 7-2 ஆகும்.,
13,He recently lost against Raonic in the Brisbane Open.,वे हाल ही में ब्रिस्बेन ओपन में रोनिक के खिलाफ हार गए थे.,,તાજેતરમાં બ્રિસ્બેન ઓપનમાં તેઓ રેઓનિક સામે હારી ગયા હતા.,તાજેતરમાં બ્રિસ્બેન ઓપનમાં તેઓ રેઓનિક સામે હારી ગયા હતા.,சமீபத்தில் அவர் பிரிஸ்பேன் ஓபனில் ராயோனிக் அணிக்கு எதிராக விளையாடித் தோற்றார்.,He recently lost against Raonic in the Brisbane Open.,वे हाल ही में ब्रिस्बेन ओपन में रोनिक के खिलाफ हार गए थे.,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,9,taajetaramaa.m brisbena opanamaa.m teo reonika saame haarii gayaa hataa.,ताजेतरमां ब्रिस्बेन ओपनमां तेओ रेओनिक सामे हारी गया हता.,சமீபத்தில் அவர் பிரிஸ்பேன் ஓபனில் ராயோனிக் அணிக்கு எதிராக விளையாடித் தோற்றார்.,
24,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं.,,આજનો પ્લેયર ઓફ ધ ડે વોશિંગ્ટન કેપિટલ્સનો એલેક્સ ઓવેકકીન છે.,આજનો પ્લેયર ઓફ ધ ડે વોશિંગ્ટન કેપિટલ્સનો એલેક્સ ઓવેકકીન છે.,இன்றைய தினத்தின் ஆட்ட நாயகன் வாஷிங்டன் கேபிடல்ஸின் அலெக்ஸ் ஓவெச்கின் ஆவார்.,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं.,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,10,aajano pleyara opha dha De voshi.mgTana kepiTalsano eleksa ovekakiina Che.,आजनो प्लेयर ओफ ध डे वोशिंग्टन केपिटल्सनो एलेक्स ओवेककीन छे.,இன்றைய தினத்தின் ஆட்ட நாயகன் வாஷிங்டன் கேபிடல்ஸின் அலெக்ஸ் ஓவெச்கின் ஆவார்.,
30,Iraq's Abu Ghraib prison has been set alight during a riot.,इराक की अबू ग़रीब जेल को दंगे के दौरान आग के हवाले कर दिया गया।,,હુલ્લડ દરમિયાન ઇરાકની અબુ ગરીબ જેલને આગ લગાડવામાં આવી છે.,હુલ્લડ દરમિયાન ઇરાકની અબુ ગરીબ જેલને આગ લગાડવામાં આવી છે.,ஈராக்கின் அபு கிரைப் சிறை ஒரு கலவரத்தின் போது தீ வைக்கப்பட்டது.,Iraq's Abu Ghraib prison has been set alight during a riot.,इराक की अबू ग़रीब जेल को दंगे के दौरान आग के हवाले कर दिया गया।,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,10,hullaDa daramiyaana iraakanii abu gariiba jelane aaga lagaaDavaamaa.m aavii Che.,हुल्लड दरमियान इराकनी अबु गरीब जेलने आग लगाडवामां आवी छे.,ஈராக்கின் அபு கிரைப் சிறை ஒரு கலவரத்தின் போது தீ வைக்கப்பட்டது.,
34,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,पिकेट जूनियर को 2009 हंगरी ग्रैंड प्री के बाद निकाल दिया गया था.,,પિકેટ જુનિયરને 2009 હંગેરિયન ગ્રાન્ડ પ્રિકસ પછી કાઢી મૂકવામાં આવ્યો હતો.,પિકેટ જુનિયરને 2009 હંગેરિયન ગ્રાન્ડ પ્રિકસ પછી કાઢી મૂકવામાં આવ્યો હતો.,2009 ஆம் ஆண்டு ஹங்கேரிய கிராண்ட் பிரிக்ஸிற்குப் பிறகு பிக்கெட் ஜூனியர் நீக்கப்பட்டார்.,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,पिकेट जूनियर को 2009 हंगरी ग्रैंड प्री के बाद निकाल दिया गया था.,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,11,pikeTa juniyarane 2009 ha.mgeriyana graanDa prikasa paChii kaaDhii muukavaamaa.m aavyo hato.,पिकेट जुनियरने 2009 हंगेरियन ग्रान्ड प्रिकस पछी काढी मूकवामां आव्यो हतो.,2009 ஆம் ஆண்டு ஹங்கேரிய கிராண்ட் பிரிக்ஸிற்குப் பிறகு பிக்கெட் ஜூனியர் நீக்கப்பட்டார்.,
36,Two beams of light have been rigged up to point skywards overnight.,रातभर आसमान की ओर देखने के लिए प्रकाश की दो किरणों को तैयार किया गया है.,,બે લાઈટ આખી રાત આકાશ તરફ પડે એ રીતે ગોઠવવામાં આવી છે.,બે લાઈટ આખી રાત આકાશ તરફ પડે એ રીતે ગોઠવવામાં આવી છે.,இரண்டு ஒளிக்கதிர்களும் இரவில் வானத்தை நோக்கி பயணிக்கச் செய்யப்பட்டவை.,Two beams of light have been rigged up to point skywards overnight.,रातभर आसमान की ओर देखने के लिए प्रकाश की दो किरणों को तैयार किया गया है.,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,12,be laaiiTa aakhii raata aakaasha tarapha paDe e riite goThavavaamaa.m aavii Che.,बे लाईट आखी रात आकाश तरफ पडे ए रीते गोठववामां आवी छे.,இரண்டு ஒளிக்கதிர்களும் இரவில் வானத்தை நோக்கி பயணிக்கச் செய்யப்பட்டவை.,
4,The pilot was identified as Squadron Leader Dilokrit Pattavee.,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,পাইলটটি স্কোয়াড্রন লিডার দিলোকৃত পাত্তাভী হিসেবে শনাক্ত হয়েছিল।,,পাইলটগৰাকী স্কুৱাড্ৰন লীডাৰ ডিলক্ৰিট পাটাভি বুলি চিনাক্ত কৰা হৈছে।,পাইলটটি স্কোয়াড্রন লিডার দিলোকৃত পাত্তাভী হিসেবে শনাক্ত হয়েছিল।,The pilot was identified as Squadron Leader Dilokrit Pattavee.,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,9,paailaTagaaakii skuaaD॰na liiDaa॰ DilakiTa paaTaabhi buli chinaakta kaaa haiChe।,पाइलटगৰाकी स्कुৱाड्ৰन लीडाৰ डिलक्ৰिट पाटाभि बुलि चिनाक्त कৰा हैछे।,,পাইলটগৰাকী স্কুৱাড্ৰন লীডাৰ ডিলক্ৰিট পাটাভি বুলি চিনাক্ত কৰা হৈছে।
6,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,২৮ বছর বয়সী ভিদাল ৩ বছর আগে সেভিয়া থেকে বার্সেলোনায় যোগদান করেছিল।,,ছেভিলাৰ 28 বছৰীয়া ভিডেলে 3 বছৰৰ আগতে অনুষ্ঠিত হোৱা বার্ছাত যোগদান কৰিছিল।,২৮ বছর বয়সী ভিদাল ৩ বছর আগে সেভিয়া থেকে বার্সেলোনায় যোগদান করেছিল।,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,12,Chebhilaa॰ 28 baChaiiyaaa bhiDele 3 baCha॰॰ aagate anuShThita hoaa baarChaata yogadaana kaiChila।,छेभिलाৰ 28 बछৰीय़ा भिडेले 3 बछৰৰ आगते अनुष्ठित होৱा बार्छात योगदान कৰिछिल।,,ছেভিলাৰ 28 বছৰীয়া ভিডেলে 3 বছৰৰ আগতে অনুষ্ঠিত হোৱা বার্ছাত যোগদান কৰিছিল।
7,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.",কাতালান-রাজধানীতে আসার পর থেকে ভিদাল ক্লাবটির হয়ে 49 টি গেম খেলেছিল।,,কেটালানৰ ৰাজধানীলৈ যোৱাৰ পাছত ভিডালে ক্লাবটোৰ হৈ ৪৯ খন খেল খেলিছে।,কাতালান-রাজধানীতে আসার পর থেকে ভিদাল ক্লাবটির হয়ে 49 টি গেম খেলেছিল।,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.",asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,11,keTaalaana॰ aajadhaaniilai yoaa॰ paaChata bhiDaale klaabaTo॰ hai 49 khana khela kheliChe।,केटालानৰ ৰाजधानीलै योৱाৰ पाछत भिडाले क्लाबटोৰ है ४९ खन खेल खेलिछे।,,কেটালানৰ ৰাজধানীলৈ যোৱাৰ পাছত ভিডালে ক্লাবটোৰ হৈ ৪৯ খন খেল খেলিছে।
